activity_a,activity_b,capacity_a,capacity_b,count,weighted
Band,Band,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,548,3.65333333333333
Math Teams (V & JV),Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,424,2.16326530612245
Open Music Practice-Strings Only,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,408,5.1
Computer Team (Freshman),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,392,4.55813953488372
Math Teams (V & JV),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,392,2.36144578313253
Math Teams (V & JV),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,336,2.02409638554217
Math Teams (V & JV),Computer Team (Freshman),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,336,2.21052631578947
Computer Team (Senior),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,320,2.78260869565217
Math Teams (V & JV),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,320,1.95121951219512
Lab 16 - AP Comp Sci,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,304,5.24137931034483
Computer Team (Intermediate),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,296,3.7
Lab 16 - AP Comp Sci,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,296,3.7
Chess Club,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,288,2.93877551020408
CS: Lab 211,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,288,3.69230769230769
Medical Society,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,280,2.8
Computer Team (Freshman),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,280,3.33333333333333
Math Teams (V & JV),Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,280,1.54696132596685
Chess Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,264,3.3
History Quiz Bowl,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: History Quiz Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,264,3.3
Computer Team (Freshman),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,256,3.87878787878788
CS: Lab 211,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,256,3.36842105263158
Namaste,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,256,2.13333333333333
Design & Tech  Tutoring/Makeups (Geiger),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,248,4.27586206896552
Computer Team (Intermediate),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,248,2.48
Namaste,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,244,2.21818181818182
CS: Lab 211,Namaste,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,244,2.48979591836735
Drama,Choir,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Choir>>,240,2.0
Band,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,232,1.71851851851852
Awesome Association,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,232,2.9
Biology Olympiad,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,228,2.28
Computer Team (Intermediate),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,224,2.28571428571429
Computer Team (Intermediate),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,224,2.87179487179487
Computer Team (Intermediate),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,220,2.44444444444444
Model UN,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,220,1.69230769230769
CS: Lab 211,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,216,3.72413793103448
Biology Olympiad,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Olympiad>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,216,2.16
Design & Tech Tutoring (Seyler),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,216,2.76923076923077
Lab 211 - Open Computer Lab,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,216,3.85714285714286
Latin: Certamen  (Lister),Latin Convention Meeting,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,216,2.45454545454545
Debate: Practice,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Debate: Practice>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,212,2.65
Design & Tech Tutoring (Seyler),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,208,3.58620689655172
Quizbowl (It's Academic),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,208,2.66666666666667
Spanish Tertulia (Pou) Level 2,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,208,3.85185185185185
Dev Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,208,3.46666666666667
Physics Team,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,200,1.5625
IBET Project Work (James),Design & Tech Tutoring (Jones only),<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Jones only)>>,200,3.57142857142857
Chess Club,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,200,1.33333333333333
Computer Security,Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,200,2.85714285714286
Design & Tech Tutoring (Seyler),Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,200,2.5
Latin Convention Meeting,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,200,3.57142857142857
TJ Media (R),Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,200,3.33333333333333
Computer Team (Freshman),Computer Team (Senior),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,192,1.9009900990099
Band,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,192,1.42222222222222
Debate: Lincoln-Douglas,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,192,2.4
Math Teams (V & JV),Design & Tech  Tutoring/Makeups (Geiger),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,184,1.26027397260274
Physics Team,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,184,1.41538461538462
Spanish Tertulia (Pou) Level 2,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,184,1.95744680851064
Biology Society,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,184,2.35897435897436
Design & Tech Tutoring (Seyler),Namaste,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,184,1.84
Lab 16 - AP Comp Sci,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,184,2.04444444444444
FBLA-Future Business Leaders of America,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,184,1.84
Quizbowl (It's Academic),Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,184,2.09090909090909
Computer Team (Freshman),Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,184,2.78787878787879
Design & Tech Tutoring (Seyler),Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,184,2.04444444444444
Computer Team (Senior),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,176,1.5304347826087
Math Teams (V & JV),Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,176,1.20547945205479
Math Teams (V & JV),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,176,1.12820512820513
Lab 200 - Computer Systems,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,176,3.52
CS: Lab 211,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,176,2.25641025641026
Computer Team (Intermediate),Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,176,1.35384615384615
Namaste,FBLA-Future Business Leaders of America,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: FBLA-Future Business Leaders of America>>,172,1.56363636363636
Computer Team (Intermediate),Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,168,2.1
Quizbowl (It's Academic),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,168,1.71428571428571
Latin Convention Meeting,Latin:,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,168,2.0
Computer Team (Senior),Machine Learning Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Machine Learning Club>>,168,1.6
Debate: Lincoln-Douglas,Debate: Practice,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Practice>>,168,2.1
Design & Tech  Tutoring/Makeups (Geiger),Namaste,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,168,1.68
Design & Tech  Tutoring/Makeups (Geiger),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,168,2.15384615384615
Awesome Association,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,168,2.89655172413793
Computer Team (Senior),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,168,1.76842105263158
Design & Tech Tutoring (Seyler),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,168,2.1
CS: Lab 211,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,168,2.47058823529412
Lab 16 - AP Comp Sci,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,168,1.29230769230769
Namaste,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,164,1.36666666666667
TWIST,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,164,2.64516129032258
Namaste,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,164,1.36666666666667
Latin Convention Meeting,Latin,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,164,2.92857142857143
Computer Team (Freshman),CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,160,2.5
Design & Tech Tutoring (Seyler),Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,160,2.66666666666667
Dev Club,Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: Dev Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,160,2.0
Latin: Certamen,Latin Convention Meeting,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,160,1.9047619047619
Latin: Certamen  (Lister),Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,160,5.0
Awesome Association,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Awesome Association>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,160,2.05128205128205
Debate: Lincoln-Douglas,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,160,1.81818181818182
AP Physics Tutoring (Dell),Computer Team (Intermediate),<bound method EighthActivity.capacity of <EighthActivity: AP Physics Tutoring (Dell)>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,160,2.05128205128205
Red Cross Youth Task Force,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,156,1.83529411764706
Design & Tech  Tutoring/Makeups (Geiger),Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,156,1.2
CS: Lab 211,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,152,1.1875
Spanish Tertulia (Pou) Level 2,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,152,2.92307692307692
Computer Team (Freshman),Design & Tech  Tutoring/Makeups (Geiger),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Freshman)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,152,2.3030303030303
Japan Bowl,Japanese Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Japan Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: Japanese Culture Club>>,152,2.71428571428571
Model UN,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,152,1.72727272727273
Namaste,Future Problem Solving,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,152,0.894117647058824
Orchestra,Korean Culture Club,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,<bound method EighthActivity.capacity of <EighthActivity: Korean Culture Club>>,152,1.72727272727273
Chess Club,Go Club,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,<bound method EighthActivity.capacity of <EighthActivity: Go Club>>,152,1.94871794871795
Debate: Lincoln-Douglas,Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,152,1.68888888888889
Debate: Lincoln-Douglas,CS: Lab 211,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,152,2.23529411764706
Computer Team (Intermediate),Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,152,1.9
Spanish Tertulia (Pou) Level 2,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,152,2.375
Debate: Lincoln-Douglas,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,148,1.34545454545455
Biology Society,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Biology Society>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,148,2.55172413793103
UAV Club (Unmanned Aerial Vehicle),Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,144,1.89473684210526
Math Teams (V & JV),Debate: Lincoln-Douglas,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,144,0.923076923076923
Debate: Lincoln-Douglas,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Debate: Lincoln-Douglas>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,144,2.05714285714286
Latin: Certamen  (Lister),Latin Tutoring/Makeup (Lister),<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Tutoring/Makeup (Lister)>>,144,2.4
Design & Tech  Tutoring/Makeups (Geiger),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,144,1.8
Debate: Policy - Varsity,Debate: Policy - Novice,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Varsity>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Policy - Novice>>,144,2.57142857142857
Japanese Culture Club,Otaku Club,<bound method EighthActivity.capacity of <EighthActivity: Japanese Culture Club>>,<bound method EighthActivity.capacity of <EighthActivity: Otaku Club>>,144,2.57142857142857
Bioinformatics Society,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Bioinformatics Society>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,144,1.54838709677419
Model UN,Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,144,1.30909090909091
Design & Tech  Tutoring/Makeups (Geiger),Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,144,1.6
Latin: Certamen  (Lister),Latin:,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,144,2.4
Namaste,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,144,1.10769230769231
Namaste,Bioinformatics Society,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,<bound method EighthActivity.capacity of <EighthActivity: Bioinformatics Society>>,144,1.25217391304348
Lab 200 - Computer Systems,Lab 16 - AP Comp Sci,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 16 - AP Comp Sci>>,144,2.88
Design & Tech  Tutoring/Makeups (Geiger),Medical Society,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Medical Society>>,144,1.8
Model UN,Design & Tech Tutoring (Seyler),<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Seyler)>>,140,1.55555555555556
Bridge Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,140,2.25806451612903
Spanish Tertulia (Pou) Level 2,Design & Tech  Tutoring/Makeups (Geiger),<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,136,2.51851851851852
Latin: Certamen  (Lister),Latin: Certamen,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,136,2.26666666666667
Spanish Honor Society,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,136,2.61538461538462
CS: Lab 211,Library Computer Classroom,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Library Computer Classroom>>,136,2.72
Design & Tech  Tutoring/Makeups (Geiger),Chess Club,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech  Tutoring/Makeups (Geiger)>>,<bound method EighthActivity.capacity of <EighthActivity: Chess Club>>,136,1.7
Quizbowl (It's Academic),Design & Tech Tutoring (Jones only),<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Jones only)>>,136,1.78947368421053
CS: Lab 211,Investment Club,<bound method EighthActivity.capacity of <EighthActivity: CS: Lab 211>>,<bound method EighthActivity.capacity of <EighthActivity: Investment Club>>,136,1.54545454545455
Spanish Tertulia (Pou) Level 2,Design & Tech Tutoring (Jones only),<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Design & Tech Tutoring (Jones only)>>,136,2.61538461538462
Future Problem Solving,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Future Problem Solving>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,136,0.918918918918919
